"","Date","Year","Month","New_users_transactions","Returning_users_transactions","New_Users_Revenue","Returning_Users_Revenue"
"225",2015-06-13,2015,"June",0,0,0,0
"226",2015-06-14,2015,"June",0,0,0,0
"227",2015-06-15,2015,"June",0,0,0,0
"228",2015-06-16,2015,"June",0,0,0,0
"229",2015-09-06,2015,"September",0,0,3660.4,768.24
"230",2015-09-19,2015,"September",0,0,1093.31,1911.63
"231",2016-07-02,2016,"July",0,0,771.89,2667.23
"232",2016-07-03,2016,"July",0,0,102.29,493.42
"233",2016-07-04,2016,"July",0,0,140.37,427.58
"234",2016-07-05,2016,"July",0,0,240.26,1534.51
"235",2016-07-06,2016,"July",0,0,962.94,1128.13
"236",2016-07-07,2016,"July",0,0,547.38,1624.99
"237",2016-07-08,2016,"July",0,0,723.44,3587.15
"238",2016-07-09,2016,"July",0,0,189.29,1179.93
"239",2016-07-10,2016,"July",0,0,144.35,266.62
"240",2016-07-11,2016,"July",0,0,71.6,197.09
"241",2016-07-12,2016,"July",0,0,1600.6,1698.11
"242",2016-07-13,2016,"July",0,0,1682.53,5604.66
"243",2016-07-15,2016,"July",0,0,275.38,1148.87
"244",2016-07-16,2016,"July",0,0,745.52,404.85
"245",2016-08-03,2016,"August",0,0,72.05,911.04
"246",2018-10-23,2018,"October",0,0,304.72,89.2
"247",2018-10-27,2018,"October",0,0,44.18,540.27
"248",2018-10-30,2018,"October",0,0,512.01,5016.2
"249",2018-11-05,2018,"November",0,0,535.9,4906.75
"250",2018-11-08,2018,"November",0,0,2090.32,1722.81
"251",2018-11-09,2018,"November",0,0,825.93,1825.94
"252",2018-11-11,2018,"November",0,0,1874.51,843.34
"253",2018-11-12,2018,"November",0,0,353.16,312.18
"254",2018-11-19,2018,"November",0,0,170.93,239.89
"255",2018-11-29,2018,"November",0,0,1823.36,3469.41
"256",2018-12-23,2018,"December",0,0,150.7,2377.1
"257",2018-12-24,2018,"December",0,0,1848.03,1936.9
"258",2018-12-25,2018,"December",0,0,1038.58,1026.87
"259",2018-12-27,2018,"December",0,0,186.13,824.99
"260",2018-12-28,2018,"December",0,0,87.24,403.91
"261",2018-12-29,2018,"December",0,0,859.94,153.87
"262",2019-01-06,2019,"January",0,0,555.65,730
"263",2019-01-12,2019,"January",0,0,373.35,1588.04
"264",2019-01-18,2019,"January",0,0,1010.06,2029.88
"265",2019-01-20,2019,"January",0,0,221.14,1500.25
"266",2019-01-21,2019,"January",0,0,960.36,516.48
